0	9
1	1
2	1
3	0
4	3
5	0
6	1
7	0
8	0
9	0
10	4
11	0
12	1
13	0
14	0
15	0
16	3
17	5
18	0
19	0
20	2
21	0
22	1
23	0
24	6
25	0
26	0
27	0
28	0
29	1
30	4
31	2
32	0
33	6
34	0
35	0
36	2
37	0
38	0
39	1
40	2
41	0
42	0
43	6
44	0
45	0
46	0
47	4
48	0
49	2
50	0
51	0
52	5
53	0
54	0
55	2
56	27
57	7
58	0
59	0
60	1
61	1
62	1
63	0
64	2
65	0
66	0
67	3
68	1
69	0
70	0
71	0
72	1
73	10
74	0
75	2
76	0
77	0
78	0
79	3
80	3
81	1
82	7
83	0
84	237
85	0
86	0
87	0
88	0
89	0
90	0
91	4
92	0
93	2
94	0
95	0
96	1
97	0
98	0
99	1
100	0
101	0
102	3
103	0
104	0
105	0
106	2
107	0
108	0
109	0
110	0
111	3
112	0
113	2
114	0
115	0
116	2
117	1
118	1
119	2
120	0
121	0
122	2
123	0
124	0
125	1
126	0
127	76
128	0
129	0
130	0
131	1
132	0
133	1
134	0
135	1
136	0
137	1
138	0
139	4
140	0
141	0
142	0
143	2
144	0
145	1
146	1
147	3
148	0
149	0
150	0
151	13
152	0
153	5
154	1
155	6
156	0
157	9
158	10
159	12
160	14
161	0
162	28
163	19
164	2
165	0
166	0
167	0
168	12
169	1
170	0
171	1
172	1
173	1
174	14
175	3
176	5
177	17
178	6
179	0
180	0
181	5
182	1
183	7
184	11
185	3
186	18
187	9
188	6
189	0
190	10
191	5
192	7
193	3
194	9
195	0
196	5
197	3
198	1
199	0
200	4
201	11
202	0
203	6
204	1
205	6
206	11
207	0
208	12
209	9
210	21
211	14
212	49
213	0
214	5
215	0
216	26
217	24
218	0
219	6
220	1
221	0
222	0
223	4
224	0
225	18
226	0
227	0
228	1
229	1
230	0
231	0
232	1
233	9
234	7
235	10
236	0
237	2
238	7
239	16
240	11
241	17
242	4
243	11
244	11
245	0
246	1
247	0
248	0
249	10
250	16
251	4
252	8
253	10
254	5
255	33
256	42
257	0
258	0
259	0
260	1
261	0
262	0
263	0
264	1
265	1
266	1
267	0
268	0
269	0
270	9
271	0
272	0
273	1
274	2
275	12
276	3
277	0
278	7
279	3
280	21
281	4
282	5
283	0
284	0
285	4
286	8
287	0
288	10
289	4
290	31
291	6
292	8
293	34
294	2
295	2
296	1
297	0
298	1
299	11
300	1
301	4
302	0
303	2
304	0
305	2
306	5
307	1
308	4
309	3
310	0
311	9
312	9
313	10
314	22
315	0
316	0
317	2
318	0
319	9
320	0
321	1
322	0
323	2
324	8
325	2
326	13
327	3
328	1
329	18
330	10
331	11
332	26
333	4
334	8
335	20
336	15
337	3
338	3
339	0
340	1
341	2
342	13
343	4
344	6
345	10
346	12
347	5
348	26
349	0
350	3
351	2
352	1
353	6
354	2
355	3
356	16
357	4
358	1
359	5
360	0
361	37
362	23
363	5
364	19
365	16
366	33
367	6
368	7
369	43
370	11
371	6
372	6
373	3
374	9
375	14
376	1
377	0
378	0
379	15
380	4
381	10
382	47
383	83
384	49
385	0
386	3
387	5
388	0
389	2
390	21
391	0
392	3
393	1
394	23
395	6
396	3
397	18
398	1
399	5
400	43
401	8
402	13
403	0
404	45
405	2
406	0
407	21
408	0
409	0
410	0
411	18
412	5
413	7
414	1
415	17
416	6
417	4
418	15
419	6
420	3
421	4
422	28
423	139
424	0
425	0
426	0
427	2
428	2
429	4
430	2
431	3
432	2
433	1
434	0
435	1
436	3
437	5
438	1
439	3
440	0
441	5
442	3
443	2
444	4
445	0
446	28
447	0
448	1
449	0
450	5
451	0
452	0
453	1
454	2
455	0
456	2
457	0
458	5
459	4
460	5
461	4
462	15
463	3
464	4
465	2
466	0
467	2
468	0
469	4
470	0
471	0
472	8
473	0
474	4
475	11
476	8
477	0
478	57
479	1
480	3
481	5
482	1
