0.0339703,224.3315,6603.754
0.0679406,436.47,6244.823
0.1019109,424.4114,442.6461
0.1358812,403.0641,628.4092
0.1698515,381.7596,627.1527
0.2038218,361.2613,603.4218
0.2377921,341.7086,575.5869
0.2717624,323.1166,547.3061
0.3057327,305.4639,519.6609
0.339703,288.7159,493.0315
0.3736733,272.8334,467.554
0.4076436,257.7762,443.2648
0.4416139,243.5042,420.1552
0.4755842,229.9784,398.195
0.5095545,217.1611,377.3438
0.5435248,205.0161,357.5561
0.5774951,193.5091,338.7848
0.6114654,182.607,320.9825
0.6454357,172.2787,304.1024
0.679406,162.4942,288.0992
0.7133763,153.2254,272.9747
0.7473466,144.4453,258.6428
0.7813169,136.1286,245.0555
0.8152872,128.251,232.1749
0.8492575,120.7897,219.9648
0.8832278,113.7228,208.4433
0.9171981,107.0299,197.6052
0.9511684,100.6913,187.3236
0.9851387,94.68852,177.5702
1.019109,89.0041,168.318
1.053079,83.62138,159.5416
1.08705,78.52464,151.2164
1.12102,73.69896,143.3195
1.15499,69.13023,135.829
1.188961,64.80505,128.7239
1.222931,60.7108,121.9845
1.256902,56.83547,115.5921
1.290872,53.16774,109.5289
1.324842,49.69688,103.7779
1.358813,46.41275,98.32307
1.392783,43.30576,93.14929
1.426753,40.36686,88.24202
1.460724,37.58751,83.58762
1.494694,34.95963,79.17306
1.528664,32.47565,74.98603
1.787673,15.67923,71.01487
2.046681,14.12693,42.29648
2.30569,13.4248,24.86965
2.564698,13.69664,14.30311
2.823706,15.6897,7.986555
3.082715,16.71203,4.335292
3.341723,17.13016,2.777724
3.600732,17.19796,23.08584
3.85974,17.05643,8.669951
4.118749,16.78947,6.332437
4.377757,16.45079,4.182057
4.636765,16.07298,2.707135
4.895774,15.69147,1.835327
5.154782,15.3165,1.762551
5.413791,14.93845,1.746289
5.672799,14.56102,1.803179
5.931808,14.1872,1.882955
6.190816,13.81926,4.186796
6.449824,13.49934,5.758682
6.708833,13.19363,2.497006
6.967841,12.8949,2.409591
7.22685,12.60307,2.20945
7.485858,12.31801,2.680281
7.744866,12.03956,2.785776
8.003875,11.76757,2.05008
8.262883,11.50193,2.004947
8.521892,11.2426,2.163456
8.7809,10.98966,2.598773
9.039908,10.74338,2.716338
9.298917,10.50422,7.204181
9.557925,10.27271,6.277931
9.816934,10.04913,3.611303
10.07594,9.833186,5.486074
10.33495,9.623755,14.21397
10.59396,10.00726,12.09083
10.85297,9.253011,10.95626
11.11198,9.105796,9.599248
11.37098,8.968291,6.216784
11.62999,8.833479,3.891909
11.889,8.697247,3.742895
12.14801,8.559672,16.00122
12.40702,8.422868,16.18982
12.66603,8.288677,6.428014
12.92503,8.157428,6.696483
13.18404,8.028003,5.654291
13.29533,7.972465,9.457029
13.40661,7.916836,7.248396
13.5179,7.861048,6.886915
13.62918,7.805061,10.04719
13.74047,7.748854,11.90139
13.85175,7.69243,9.223862
13.96304,7.635807,4.716104
14.07432,7.579015,4.212515
14.18561,7.522096,5.041983
14.2969,7.465094,5.240052
14.40818,7.408056,5.012099
14.51947,7.351032,4.594094
14.63075,7.294074,4.106893
14.74204,7.237226,3.606055
